Date,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
2006-11-30,0.0148,0.0194,0.029900000000000003,0.0202,0.0068000000000000005,0.0199,0.0246,0.0363,0.0147,0.0275,0.0054,0.0085,0.0276,0.0086,0.0311,0.020499999999999997,0.031,0.0424
2006-12-31,0.022400000000000003,0.0171,-0.0038,0.0195,0.0246,0.0189,0.004,-0.0079,0.0278,0.0085,0.0275,0.0212,0.0176,0.0207,0.0063,0.0024,0.005,-0.022400000000000003
2007-01-31,0.0161,0.0177,0.0213,0.0131,0.0271,0.0087,0.0192,0.0265,0.0108,0.0163,0.0212,0.0342,0.0022,0.018500000000000003,0.027999999999999997,0.0134,0.0246,0.0287
2007-02-28,-0.0232,-0.0149,-0.0101,-0.0184,-0.024300000000000002,-0.0151,-0.0126,-0.0086,-0.021,-0.0147,-0.031200000000000002,-0.0161,-0.0189,-0.0096,-0.0129,-0.0124,-0.0111,-0.005699999999999999
2007-03-31,0.0048,0.009399999999999999,0.020099999999999996,0.0069,0.0043,0.0128,0.008100000000000001,0.024900000000000002,0.0051,0.009399999999999999,0.0014000000000000002,0.0077,0.0223,-0.0012,0.0007000000000000001,0.0129,0.0233,0.026699999999999998
2007-04-30,0.050499999999999996,0.0401,0.0318,0.052199999999999996,0.0408,0.042300000000000004,0.036000000000000004,0.031400000000000004,0.05,0.0554,0.0475,0.033,0.045700000000000005,0.0373,0.041299999999999996,0.0326,0.0256,0.038
2007-05-31,0.030299999999999997,0.0342,0.044000000000000004,0.0345,0.0317,0.028900000000000002,0.035,0.053,0.034300000000000004,0.0348,0.0231,0.04190000000000001,0.0329,0.0229,0.0425,0.0302,0.0467,0.0602
2007-06-30,-0.0139,-0.0206,-0.0121,-0.0121,-0.023,-0.0166,-0.0139,-0.0146,-0.0044,-0.0231,-0.017,-0.029900000000000003,-0.019,-0.013000000000000001,-0.0225,-0.008199999999999999,-0.0199,-0.0086
2007-07-31,-0.039,-0.0296,-0.033,-0.0361,-0.0344,-0.0291,-0.0408,-0.027200000000000002,-0.0449,-0.0322,-0.0441,-0.0253,-0.019799999999999998,-0.0432,-0.0348,-0.046,-0.0352,-0.0183
2007-08-31,0.0146,0.0113,0.0163,0.0059,0.015600000000000001,0.015700000000000002,0.0091,0.0207,-0.0058,0.011000000000000001,0.0305,0.0017000000000000001,0.018000000000000002,0.012199999999999999,0.0123,0.0063,0.0256,0.015300000000000001
2007-09-30,0.018500000000000003,0.0375,0.0447,0.025099999999999997,0.0285,0.0337,0.0342,0.0489,0.028300000000000002,0.023799999999999998,0.0069,0.0492,0.038,0.027000000000000003,0.0334,0.035,0.0356,0.0636
2007-10-31,0.0264,0.018600000000000002,0.018799999999999997,0.034300000000000004,0.0124,0.0144,0.018000000000000002,0.0248,-0.003,0.050499999999999996,0.0121,0.0127,0.012,0.0182,0.033,0.0048,0.0038,0.0475
2007-11-30,-0.0481,-0.0362,-0.049699999999999994,-0.041299999999999996,-0.0473,-0.028900000000000002,-0.0429,-0.0558,-0.0506,-0.0375,-0.060899999999999996,-0.0348,-0.031,-0.0256,-0.051500000000000004,-0.0352,-0.0548,-0.056900000000000006
2007-12-31,-0.011899999999999999,-0.0092,0.001,-0.0104,-0.0151,0.001,-0.01,0.0007000000000000001,-0.0208,-0.0064,-0.0147,-0.0155,0.0068000000000000005,-0.008199999999999999,-0.0231,0.0017000000000000001,-0.0227,0.024900000000000002
2008-01-31,-0.058899999999999994,-0.051699999999999996,-0.0692,-0.0493,-0.0643,-0.06309999999999999,-0.039599999999999996,-0.07730000000000001,-0.0575,-0.0461,-0.07719999999999999,-0.0528,-0.066,-0.058499999999999996,-0.0273,-0.050300000000000004,-0.04650000000000001,-0.10769999999999999
2008-02-29,-0.0401,-0.019799999999999998,-0.0337,-0.0329,-0.0381,-0.009399999999999999,-0.0404,-0.0291,-0.0127,-0.0406,-0.0542,-0.024,0.0038,-0.030899999999999997,-0.0359,-0.0444,-0.0171,-0.0417
2008-03-31,-0.0125,-0.0012,-0.0085,-0.005,-0.006500000000000001,-0.0060999999999999995,-0.0106,-0.0049,-0.0269,0.0034999999999999996,-0.0276,0.0113,-0.0072,-0.0043,-0.0038,-0.0167,-0.02,0.0113
2008-04-30,0.0269,0.0418,0.0635,0.0226,0.02,0.0538,0.059699999999999996,0.062400000000000004,0.0362,0.0175,0.0356,0.0072,0.0666,0.0323,0.0525,0.0662,0.054299999999999994,0.0708
2008-05-31,0.0304,0.0128,0.0215,0.0297,0.0155,0.0225,0.0018,0.0308,0.0286,0.0301,0.0318,0.0018,0.0111,0.042,0.0043,-0.0005,0.0177,0.0444
2008-06-30,-0.0825,-0.0837,-0.0825,-0.0793,-0.0886,-0.0696,-0.0913,-0.085,-0.0906,-0.07490000000000001,-0.08900000000000001,-0.0883,-0.0575,-0.09,-0.1079,-0.07629999999999999,-0.0891,-0.0809
2008-07-31,-0.0038,-0.013500000000000002,0.0018,-0.022099999999999998,0.0139,-0.0073,0.0037,-0.0286,-0.0444,0.011200000000000002,0.0123,0.0168,0.0069,-0.016,-0.033,0.04019999999999999,0.0037,-0.0553
2008-08-31,0.0296,0.016,0.0098,0.0331,0.024700000000000003,0.0171,0.0129,0.0069,0.0382,0.0258,0.026699999999999998,0.021,0.0195,0.015600000000000001,0.0125,0.0132,0.0143,0.0003
2008-09-30,-0.0883,-0.08789999999999999,-0.0968,-0.10039999999999999,-0.08220000000000001,-0.075,-0.0751,-0.1374,-0.0832,-0.1247,-0.07780000000000001,-0.0902,-0.09630000000000001,-0.061900000000000004,-0.10289999999999999,-0.0493,-0.11380000000000001,-0.1585
2008-10-31,-0.1623,-0.1655,-0.1804,-0.19760000000000003,-0.1409,-0.1721,-0.1678,-0.1869,-0.1978,-0.1974,-0.1328,-0.1561,-0.18899999999999997,-0.16210000000000002,-0.1612,-0.1736,-0.1832,-0.19030000000000002
2008-11-30,-0.0667,-0.0552,-0.1052,-0.107,-0.0443,-0.0722,-0.0767,-0.0943,-0.1073,-0.1066,-0.0356,-0.061,-0.0737,-0.0713,-0.0313,-0.1166,-0.092,-0.0964
2008-12-31,0.0176,0.018000000000000002,0.0183,0.0060999999999999995,0.0263,0.0253,0.006500000000000001,0.0286,-0.018600000000000002,0.0429,0.0258,0.0273,0.0447,0.015300000000000001,0.005600000000000001,0.0073,0.0296,0.0276
